,Model,Input shape,Layers,Units,Learning rate,Root Mean Squared Errors (validation)
446,simpl_RNN,12,3,16,1e-05,0.8723501269448005
447,LSTM,12,3,16,1e-05,2.173777607207926
448,BI_LSTM,12,3,16,1e-05,2.209918836891873
449,CNN,12,3,16,1e-05,1.2770533168375409
450,NN,18,3,16,0.001,0.5770991215271155
451,MPL,18,3,16,0.001,0.7708802488821374
452,simpl_RNN,18,3,16,0.001,0.516095222782289
453,LSTM,18,3,16,0.001,1743.984518467944
454,BI_LSTM,18,3,16,0.001,
455,CNN,18,3,16,0.001,1.1457527503921272
456,NN,18,3,16,0.0001,0.6136035056684447
457,MPL,18,3,16,0.0001,0.8606150144149323
458,simpl_RNN,18,3,16,0.0001,0.3727270962246949
459,LSTM,18,3,16,0.0001,1.483127456462916
460,BI_LSTM,18,3,16,0.0001,1.081088372239808
461,CNN,18,3,16,0.0001,0.7172336864337604
462,NN,18,3,16,1e-05,0.6405981723447199
463,MPL,18,3,16,1e-05,1.041865202399709
464,simpl_RNN,18,3,16,1e-05,1.3405196556224612
465,LSTM,18,3,16,1e-05,1.3227306548797022
466,BI_LSTM,18,3,16,1e-05,1.4957584855854802
467,CNN,18,3,16,1e-05,1.1082084207766865
468,NN,24,3,16,0.001,0.5637806137177807
469,MPL,24,3,16,0.001,0.721940312003973
470,simpl_RNN,24,3,16,0.001,1.1955644661790608
471,LSTM,24,3,16,0.001,
472,BI_LSTM,24,3,16,0.001,
473,CNN,24,3,16,0.001,0.8368069535804814
474,NN,24,3,16,0.0001,0.6593790855194464
475,MPL,24,3,16,0.0001,0.7145688971232591
476,simpl_RNN,24,3,16,0.0001,0.3469984194096939
477,LSTM,24,3,16,0.0001,2.467279949534025
478,BI_LSTM,24,3,16,0.0001,1.897272801657343
479,CNN,24,3,16,0.0001,0.6560045107446107
480,NN,24,3,16,1e-05,1.9244233730337088
481,MPL,24,3,16,1e-05,0.9411871817202432
482,simpl_RNN,24,3,16,1e-05,0.4211671651520557
483,LSTM,24,3,16,1e-05,2.430493623444564
484,BI_LSTM,24,3,16,1e-05,4.101701445723707
485,CNN,24,3,16,1e-05,1.2316471561842528
486,NN,12,3,32,0.001,0.9858038731559072
487,MPL,12,3,32,0.001,0.5943100033776711
488,simpl_RNN,12,3,32,0.001,0.3282626857080114
489,LSTM,12,3,32,0.001,1.5274570096958886
490,BI_LSTM,12,3,32,0.001,
491,CNN,12,3,32,0.001,1.1634185204008691
492,NN,12,3,32,0.0001,0.7036212105190559
493,MPL,12,3,32,0.0001,0.8168509035104354
494,simpl_RNN,12,3,32,0.0001,0.3792707708279804
495,LSTM,12,3,32,0.0001,1.210792609596705
496,BI_LSTM,12,3,32,0.0001,1.955549338888773
497,CNN,12,3,32,0.0001,1.034506051055267
498,NN,12,3,32,1e-05,1.068155511309441
499,MPL,12,3,32,1e-05,0.8290824840884564
500,simpl_RNN,12,3,32,1e-05,1.473326619407063
501,LSTM,12,3,32,1e-05,0.7167453671592142
502,BI_LSTM,12,3,32,1e-05,1.289205772992038
503,CNN,12,3,32,1e-05,1.1029787812770764
504,NN,18,3,32,0.001,0.680892460154246
505,MPL,18,3,32,0.001,0.8188866915803358
506,simpl_RNN,18,3,32,0.001,1.14389691564692
507,LSTM,18,3,32,0.001,0.797213446250699
508,BI_LSTM,18,3,32,0.001,
509,CNN,18,3,32,0.001,0.9825563921907048
510,NN,18,3,32,0.0001,0.5502840153127652
511,MPL,18,3,32,0.0001,0.5816686399066799
512,simpl_RNN,18,3,32,0.0001,0.2681551114196187
513,LSTM,18,3,32,0.0001,2.4637364573915765
514,BI_LSTM,18,3,32,0.0001,0.9975881666794671
515,CNN,18,3,32,0.0001,0.7779237065343089
516,NN,18,3,32,1e-05,0.7678019141299509
517,MPL,18,3,32,1e-05,0.950646001820356
518,simpl_RNN,18,3,32,1e-05,1.0230576763389183
519,LSTM,18,3,32,1e-05,1.4074902702655592
